original_isbn,img,price,url,provider
140047484,https://lzd-img-global.slatic.net/g/p/ed972cc577ef23838dea9995a977cc6a.jpg_200x200q80.jpg_.webp,11.67,https:////www.lazada.sg/products/flags-around-the-world-ultimate-sticker-paperback-9780241283769-i2257497196.html,Lazada
1401308201,https://lzd-img-global.slatic.net/g/p/f5680cd44d8ffa4fd8dec35ec5f95c86.jpg_200x200q80.jpg_.webp,10.90,https:////www.lazada.sg/products/primary-1-to-6-intensive-mathematics-drillsprimary-mathematics-assessment-book-i1613274359.html,Lazada
1401322786,https://lzd-img-global.slatic.net/g/p/670fcef282a47bced7ba8d47d820eb6b.png_200x200q80.png_.webp,16.96,https:////www.lazada.sg/products/time-keeper-ap-paperback-english-9780751541182-general-fiction-i2814721082.html,Lazada
140169300,https://lzd-img-global.slatic.net/g/p/fafd94cd5d0a000971ea3725e0061f00.jpg_200x200q80.jpg_.webp,43.20,https:////www.lazada.sg/products/milumilu-angle-of-repose-1972-wallace-stegner-original-english-literary-novels-books-i2720495337.html,Lazada
1402726023,https://lzd-img-global.slatic.net/g/p/84f98315ba8da2f7ba0f6bb5abf26237.jpg_200x200q80.jpg_.webp,14.10,https:////www.lazada.sg/products/make-a-story-card-game-letterland-i901706309.html,Lazada
140283307,https://lzd-img-global.slatic.net/g/p/581d5394c9da36a0261a47efad6bca63.jpg_200x200q80.jpg_.webp,31.40,https:////www.lazada.sg/products/white-noise-penguin-orange-collection-by-don-delillo-us-edition-paperback-i2225850220.html,Lazada
140298479,https://lzd-img-global.slatic.net/g/p/3a7b253cf1578e9f049c3221ad7a7595.jpg_200x200q80.jpg_.webp,20.78,https:////www.lazada.sg/products/bridget-jones-the-edge-of-reason-by-helen-fielding-uk-edition-paperback-i2239888107.html,Lazada
140434747,https://lzd-img-global.slatic.net/g/p/d1acfd0baef0deb4efb7d00b212910af.jpg_200x200q80.jpg_.webp,20.11,https:////www.lazada.sg/products/the-tenant-of-wildfell-hall-vintage-classics-bronte-series-by-anne-bront-uk-edition-paperback-i2225813342.html,Lazada
140436588,https://lzd-img-global.slatic.net/g/p/a0ae14ad32c7ebfbd7099eb979552f09.jpg_200x200q80.jpg_.webp,13.72,https:////www.lazada.sg/products/yi-fanhe-english-original-book-ivanhoe-walter-si-gete-saxon-heroes-i1492894754.html,Lazada
140439072,https://lzd-img-global.slatic.net/g/p/290d37764876a006cd8495ca247ae2f7.jpg_200x200q80.jpg_.webp,15.20,https:////www.lazada.sg/products/sherlock-holmes-a-study-in-scarlet-the-sign-of-the-four-by-arthur-conan-doyle-uk-edition-paperback-i2231161851.html,Lazada
